titulo,artista,edicion,genero,idioma,dificultad,coaches,archivo,edicion_codigo,map_name
Here Comes The Spy,The Step Brigade,Just Dance 2021,Pop / Dance-Pop,Inglés,1,1,spykids_pc.ipk,2021,SpyKids
Ice Cream,BLACKPINK x Selena Gomez,Just Dance 2021,K-Pop,Coreano,3,4,sorbet_pc.ipk,2021,Sorbet
In The Navy,Village People,Just Dance 2021,Disco / Funk,Inglés,2,4,inthenavy_pc.ipk,2021,InTheNavy
Intoxicated,Martin Solveig & GTA,Just Dance 2021,Pop / Dance-Pop,Inglés,2,1,intoxicated_pc.ipk,2021,Intoxicated
John Cena,Sho Madjozi,Just Dance 2021,Pop / Dance-Pop,Inglés,3,1,johncena_pc.ipk,2021,JohnCena
Joone Khodet,Black Cats,Just Dance 2021,Pop / Dance-Pop,Inglés,3,2,joone_pc.ipk,2021,Joone
Juice,Lizzo,Just Dance 2021,Pop / Dance-Pop,Inglés,2,3,juicealt_pc.ipk,2021,JuiceALT
Juice,Lizzo,Just Dance 2021,Pop / Dance-Pop,Inglés,3,3,juicevip_pc.ipk,2021,JuiceVIP
Juice,Lizzo,Just Dance 2021,Pop / Dance-Pop,Inglés,2,3,juice_pc.ipk,2021,Juice
Kick It,NCT 127,Just Dance 2021,K-Pop,Coreano,4,1,kickitalt_pc.ipk,2021,KickItALT
Kick It,NCT 127,Just Dance 2021,K-Pop,Coreano,3,4,kickit_pc.ipk,2021,KickIt
Kulikitaka,Toño Rosario,Just Dance 2021,Pop / Dance-Pop,Inglés,1,1,kuliki_pc.ipk,2021,Kuliki
Lacrimosa,Apashe,Just Dance 2021,Pop / Dance-Pop,Inglés,2,1,lacrimosa_pc.ipk,2021,Lacrimosa
Let's Save Our Planet,The Sunlight Shakers,Just Dance 2021,Pop / Dance-Pop,Inglés,1,2,ecolokids_pc.ipk,2021,EcoloKids
Magenta Riddim,DJ Snake,Just Dance 2021,Dance / Electrónica,Inglés,2,1,magenta_pc.ipk,2021,Magenta
Monster,EXO,Just Dance 2021,K-Pop,Coreano,3,3,monster_pc.ipk,2021,Monster
Paca Dance,The Just Dance Band,Just Dance 2021,Pop / Dance-Pop,Inglés,1,2,pacadance_pc.ipk,2021,PacaDance
Que Tire Pa Lante,Daddy Yankee,Just Dance 2021,K-Pop,Español,3,4,quetirepalante_pc.ipk,2021,QueTirePaLante
Rain On Me,Lady Gaga & Ariana Grande,Just Dance 2021,Pop / Dance-Pop,Inglés,2,3,rainonme_pc.ipk,2021,RainOnMe
Rare,Selena Gomez,Just Dance 2021,Pop / Dance-Pop,Inglés,1,1,rarealt_pc.ipk,2021,RareALT
Rare,Selena Gomez,Just Dance 2021,Pop / Dance-Pop,Inglés,1,1,rare_pc.ipk,2021,Rare
Rock 'n Roll Princess,Fast Forward Highway,Just Dance 2021,R&B / Soul,Inglés,1,1,badassprincesskids_pc.ipk,2021,BadAssPrincessKids
Runaway (U & I),Galantis,Just Dance 2021,Dance / Electrónica,Inglés,1,2,runaway_pc.ipk,2021,Runaway
Samba de Janeiro,Bellini,Just Dance 2021,Pop / Dance-Pop,Inglés,3,2,sambadejaneiroalt_pc.ipk,2021,SambaDeJaneiroALT
Samba de Janeiro,Bellini,Just Dance 2021,Pop / Dance-Pop,Inglés,1,3,sambadejaneiro_pc.ipk,2021,SambaDeJaneiro
Savage love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,Just Dance 2021,Pop / Dance-Pop,Inglés,2,2,savagelove_pc.ipk,2021,SavageLove
Say So,Doja Cat,Just Dance 2021,Hip-Hop / Rap,Inglés,1,2,sayso_pc.ipk,2021,SaySo
Señorita,Shawn Mendes & Camila Cabello,Just Dance 2021,Pop / Dance-Pop,Spanglish,1,2,senorita_pc.ipk,2021,Senorita
Space Cat,Equinox Stars,Just Dance 2021,Pop / Dance-Pop,Inglés,1,1,chasmonautekids_pc.ipk,2021,ChasmonauteKids
Stupid Love,Lady Gaga,Just Dance 2021,Pop / Dance-Pop,Inglés,3,1,stupidlove_pc.ipk,2021,StupidLove
Temperature,Sean Paul,Just Dance 2021,Pop / Dance-Pop,Inglés,4,1,temperaturealt_pc.ipk,2021,TemperatureALT
Temperature,Sean Paul,Just Dance 2021,Pop / Dance-Pop,Inglés,1,4,temperature_pc.ipk,2021,Temperature
The Color Lab,Dancing Bros.,Just Dance 2021,Pop / Dance-Pop,Inglés,1,1,bubbleskids_pc.ipk,2021,BubblesKids
The Other Side (from Trolls World Tour),SZA & Justin Timberlake,Just Dance 2021,R&B / Soul,Inglés,2,1,othersidesza_pc.ipk,2021,OtherSideSZA
The Sweet Escape,Gwen Stefani Ft. Akon,Just Dance 2021,Pop / Dance-Pop,Inglés,1,1,sweetescape_pc.ipk,2021,SweetEscape
The Way I Are,"Timbaland Ft. Keri Hilson, D.O.E., Sebastian",Just Dance 2021,Pop / Dance-Pop,Inglés,2,2,thewayiare_pc.ipk,2021,TheWayIAre
The Weekend,Michael Gray,Just Dance 2021,Pop / Dance-Pop,Inglés,3,2,theweekend_pc.ipk,2021,TheWeekend
Till The World Ends,Britney Spears,Just Dance 2021,Pop / Dance-Pop,Inglés,4,1,tilltheworldendsalt_pc.ipk,2021,TillTheWorldEndsALT
Till The World Ends,Britney Spears,Just Dance 2021,Pop / Dance-Pop,Inglés,2,1,tilltheworldends_pc.ipk,2021,TillTheWorldEnds
Tusa,"Karol G, Nicki Minaj",Just Dance 2021,Pop Latino / Urbano,Spanglish,2,1,tusa_pc.ipk,2021,Tusa
U.S.A.,DA PUMP,Just Dance 2021,Pop / Dance-Pop,Inglés,2,4,usa_pc.ipk,2021,USA
UNO,Little Big,Just Dance 2021,Rock / Pop Rock,Inglés,2,4,uno_pc.ipk,2021,Uno
Volar,Lele Pons Ft. Susan Diaz and Victor Cardenas,Just Dance 2021,Hip-Hop / Rap,Inglés,2,1,volar_pc.ipk,2021,Volar
Without Me,Eminem,Just Dance 2021,Hip-Hop / Rap,Inglés,4,1,withoutmealtretake_pc.ipk,2021,WithoutMeALTRETAKE
Without Me,Eminem,Just Dance 2021,Hip-Hop / Rap,Inglés,3,3,withoutme_pc.ipk,2021,WithoutMe
Yameen Yasar,DJ Absi,Just Dance 2021,Pop / Dance-Pop,Inglés,4,1,habibiyaenialt_pc.ipk,2021,HabibiYaeniALT
Yameen Yasar,DJ Absi,Just Dance 2021,Pop / Dance-Pop,Inglés,3,3,habibiyaeni_pc.ipk,2021,HabibiYaeni
YO LE LLEGO,"J Balvin, Bad Bunny",Just Dance 2021,Infantil,Español,1,2,yolellego_pc.ipk,2021,YoLeLlego
You've Got A Friend In Me,Disney•Pixar's Toy Story,Just Dance 2021,Banda Sonora / Musical,Inglés,1,1,friendinme_pc.ipk,2021,FriendInMe
Zenit,ONUKA,Just Dance 2021,Pop / Dance-Pop,Inglés,1,1,zenit_pc.ipk,2021,Zenit
A La Folie,Julien Granel & Lena Situations,Just Dance 2022,Pop / Dance-Pop,Francés,2,1,alafolie_pc.ipk,2022,ALaFolie
Bad Habits,Ed Sheeran,Just Dance 2022,Pop / Dance-Pop,Inglés,2,1,badhabits_pc.ipk,2022,BadHabits
Baianá,Bakermat,Just Dance 2022,Dance / Electrónica,Portugués,1,1,baiana_pc.ipk,2022,Baiana
Believer,Imagine Dragons,Just Dance 2022,Rock / Pop Rock,Inglés,2,2,believer_pc.ipk,2022,Believer
Black Mamba,aespa,Just Dance 2022,K-Pop,Coreano,2,1,blackmamalt_pc.ipk,2022,BlackMamALT
Black Mamba,aespa,Just Dance 2022,K-Pop,Coreano,4,3,blackmam_pc.ipk,2022,BlackMam
BOOMBAYAH,BLACKPINK,Just Dance 2022,K-Pop,Coreano,2,1,boombayahalt_pc.ipk,2022,BoombayahALT
BOOMBAYAH,BLACKPINK,Just Dance 2022,K-Pop,Coreano,4,4,boombayah_pc.ipk,2022,Boombayah
Boss Witch,Skarlett Klaw,Just Dance 2022,Pop / Dance-Pop,Inglés,2,1,bosswitch_pc.ipk,2022,BossWitch
Break My Heart,Dua Lipa,Just Dance 2022,Rock / Pop Rock,Inglés,2,1,breakmyheart_pc.ipk,2022,BreakMyHeart
Build A B****,Bella Poarch,Just Dance 2022,Pop / Dance-Pop,Inglés,1,1,buildab_pc.ipk,2022,BuildAB
Buttons,The Pussycat Dolls Ft. Snoop Dogg,Just Dance 2022,Hip-Hop / Rap,Inglés,2,1,buttonsalt_pc.ipk,2022,ButtonsALT
Buttons,The Pussycat Dolls Ft. Snoop Dogg,Just Dance 2022,Hip-Hop / Rap,Inglés,2,3,buttons_pc.ipk,2022,Buttons
Chacarron,El Chombo,Just Dance 2022,Pop / Dance-Pop,Inglés,1,1,chacarron_pc.ipk,2022,Chacarron
Chandelier,Sia,Just Dance 2022,Pop / Dance-Pop,Inglés,2,1,chandelieralt_pc.ipk,2022,ChandelierALT
Chandelier,Sia,Just Dance 2022,Pop / Dance-Pop,Inglés,2,1,chandelier_pc.ipk,2022,Chandelier
China,"Anuel AA, Daddy Yankee, Karol G Ft. Ozuna, J Balvin",Just Dance 2022,Infantil,Español,1,2,chinaalt_pc.ipk,2022,ChinaALT
China,"Anuel AA, Daddy Yankee, Karol G Ft. Ozuna, J Balvin",Just Dance 2022,Infantil,Español,2,3,china_pc.ipk,2022,China
Daisy,Ashnikko,Just Dance 2022,Pop / Dance-Pop,Inglés,1,1,daisy_pc.ipk,2022,Daisy
Don't Go Yet,Camila Cabello,Just Dance 2022,Pop / Dance-Pop,Inglés,2,1,dontgoyetalt_pc.ipk,2022,DontGoYetALT
Don't Go Yet,Camila Cabello,Just Dance 2022,Pop / Dance-Pop,Inglés,2,4,dontgoyet_pc.ipk,2022,DontGoYet
Flash Pose,Pabllo Vittar Ft. Charli XCX,Just Dance 2022,Dance / Electrónica,Portugués,2,3,flashpose_pc.ipk,2022,FlashPose
Follow The White Rabbit,Madison Beer,Just Dance 2022,Pop / Dance-Pop,Inglés,2,1,followthewhiterabbit_pc.ipk,2022,FollowTheWhiteRabbit
Freed From Desire,GALA,Just Dance 2022,Rock / Pop Rock,Inglés,2,1,freedfromdesire_pc.ipk,2022,FreedFromDesire
Funk,Meghan Trainor,Just Dance 2022,Pop / Dance-Pop,Inglés,2,2,funk_pc.ipk,2022,Funk
GIRL LIKE ME,Black Eyed Peas X Shakira,Just Dance 2022,Hip-Hop / Rap,Spanglish,4,1,girllikemealt_pc.ipk,2022,GirlLikeMeALT
GIRL LIKE ME,Black Eyed Peas X Shakira,Just Dance 2022,Hip-Hop / Rap,Spanglish,3,1,girllikeme_pc.ipk,2022,GirlLikeMe
good 4 u,Olivia Rodrigo,Just Dance 2022,Pop / Dance-Pop,Inglés,2,1,good4u_pc.ipk,2022,Good4U
Happier Than Ever,Billie Eilish,Just Dance 2022,Pop / Dance-Pop,Inglés,2,1,happierthanever_pc.ipk,2022,HappierThanEver
Human,Sevdaliza,Just Dance 2022,Pop / Dance-Pop,Inglés,3,1,human_pc.ipk,2022,Human
I'm Outta Love,Anastacia,Just Dance 2022,Hip-Hop / Rap,Inglés,1,1,imouttalove_pc.ipk,2022,ImOuttaLove
Jerusalema,Master KG Ft. Nomcebo Zikode,Just Dance 2022,Pop / Dance-Pop,Inglés,1,4,jerusalema_pc.ipk,2022,Jerusalema
Jopping,SuperM,Just Dance 2022,K-Pop,Coreano,2,1,joppingalt_pc.ipk,2022,JoppingALT
Jopping,SuperM,Just Dance 2022,K-Pop,Coreano,4,3,jopping_pc.ipk,2022,Jopping
Judas,Lady Gaga,Just Dance 2022,Pop / Dance-Pop,Inglés,2,1,judas_pc.ipk,2022,Judas
Kiss Me More,Doja Cat Ft. SZA,Just Dance 2022,K-Pop,Coreano,2,2,kissmemore_pc.ipk,2022,KissMeMore
Koi (恋),Gen Hoshino (星野源),Just Dance 2022,Pop / Dance-Pop,Inglés,3,3,koi_pc.ipk,2022,Koi
Last Friday Night (T.G.I.F.),Katy Perry,Just Dance 2022,Pop / Dance-Pop,Inglés,2,1,tgif_pc.ipk,2022,TGIF
Level Up,Ciara,Just Dance 2022,R&B / Soul,Inglés,2,1,levelupvip_pc.ipk,2022,LevelUpVIP
Level Up,Ciara,Just Dance 2022,R&B / Soul,Inglés,2,3,levelup_pc.ipk,2022,LevelUp
Levitating,Dua Lipa,Just Dance 2022,Pop / Dance-Pop,Inglés,4,1,levitatingalt_pc.ipk,2022,LevitatingALT
Levitating,Dua Lipa,Just Dance 2022,Pop / Dance-Pop,Inglés,1,1,levitating_pc.ipk,2022,Levitating
Love Story (Taylor's Version),Taylor Swift,Just Dance 2022,Pop / Dance-Pop,Inglés,1,2,lovestory_pc.ipk,2022,LoveStory
Malibu,Kim Petras,Just Dance 2022,Pop / Dance-Pop,Inglés,2,3,malibu_pc.ipk,2022,Malibu
MONTERO (Call Me By Your Name),Lil Nas X,Just Dance 2022,Hip-Hop / Rap,Inglés,2,1,montero_pc.ipk,2022,MONTERO
Mood,24kGoldn Ft. iann dior,Just Dance 2022,Hip-Hop / Rap,Inglés,4,3,moodalt_pc.ipk,2022,MoodALT
Mood,24kGoldn Ft. iann dior,Just Dance 2022,Hip-Hop / Rap,Inglés,1,2,mood_pc.ipk,2022,Mood
Mr. Blue Sky,The Sunlight Shakers,Just Dance 2022,Pop / Dance-Pop,Inglés,1,1,mrbluesky_pc.ipk,2022,MrBlueSky
My Way,Domino Saints,Just Dance 2022,Pop / Dance-Pop,Inglés,2,4,reebok_pc.ipk,2022,Reebok
"Nails, Hair, Hips, Heels",Todrick Hall,Just Dance 2022,Pop / Dance-Pop,Inglés,4,1,nailships_pc.ipk,2022,NailsHips
"Nails, Hair, Hips, Heels (Just Dance Version)",Todrick Hall,Just Dance 2022,Pop / Dance-Pop,Inglés,2,1,nailshipsjd_pc.ipk,2022,NailsHipsJD
POP/STARS,"K/DA, Madison Beer, (G)I-DLE Ft. Jaira Burns",Just Dance 2022,K-Pop,Coreano,4,4,popstars_pc.ipk,2022,PopStars
Positions,Ariana Grande,Just Dance 2022,Pop / Dance-Pop,Inglés,3,4,positions_pc.ipk,2022,Positions
Poster Girl,Zara Larsson,Just Dance 2022,Pop / Dance-Pop,Inglés,2,1,siargo_pc.ipk,2022,Siargo
Rock Your Body,Justin Timberlake,Just Dance 2022,R&B / Soul,Inglés,2,1,rockyourbody_pc.ipk,2022,RockYourBody
Run The World (Girls),Beyoncé,Just Dance 2022,R&B / Soul,Inglés,4,1,whorunaltretake_pc.ipk,2022,WhoRunALTRETAKE
Run The World (Girls),Beyoncé,Just Dance 2022,R&B / Soul,Inglés,3,3,whorun_pc.ipk,2022,WhoRun
Save Your Tears (Remix),The Weeknd & Ariana Grande,Just Dance 2022,R&B / Soul,Inglés,2,2,saveyourtears_pc.ipk,2022,SaveYourTears
Shoutout,Lisa Pac,Just Dance 2022,J-Pop,Japonés,3,2,flyingstepvip_pc.ipk,2022,FlyingStepVIP
Smalltown Boy,Bronski Beat,Just Dance 2022,Pop / Dance-Pop,Inglés,2,1,smalltownboy_pc.ipk,2022,SmalltownBoy
Stop Drop Roll,Ayo & Teo,Just Dance 2022,Hip-Hop / Rap,Inglés,2,4,stopdropandroll_pc.ipk,2022,StopDropAndRoll
Sua Cara,Major Lazer Ft. Anitta & Pabllo Vittar,Just Dance 2022,Pop Latino / Urbano,Portugués,1,2,suacaraalt_pc.ipk,2022,SuaCaraALT
Sua Cara,Major Lazer Ft. Anitta & Pabllo Vittar,Just Dance 2022,Pop Latino / Urbano,Portugués,1,1,suacara_pc.ipk,2022,SuaCara
Think About Things,Daði Freyr,Just Dance 2022,Pop / Dance-Pop,Inglés,2,1,thinkaboutthings_pc.ipk,2022,ThinkAboutThings
Waterval,K3,Just Dance 2022,Pop / Dance-Pop,Holandés,2,3,langkawi_pc.ipk,2022,Langkawi
You Can Dance,Chilly Gonzales,Just Dance 2022,Pop / Dance-Pop,Inglés,1,1,youcandance_pc.ipk,2022,YouCanDance
You Make Me Feel (Mighty Real),Sylvester,Just Dance 2022,Pop / Dance-Pop,Inglés,2,1,mightyreal_pc.ipk,2022,MightyReal
As It Was,Harry Styles,Just Dance 2023 Edition,Pop / Dance-Pop,Inglés,2,1,asitwas_pc.ipk,2023,AsItWas
Bloody Mary,Lady Gaga,Just Dance 2023 Edition,Pop / Dance-Pop,Inglés,2,1,bloodymary_pc.ipk,2023,BloodyMary
CAN'T STOP THE FEELING!,Justin Timberlake,Just Dance 2023 Edition,Rock / Pop Rock,Inglés,1,2,cantstopthefeeling_pc.ipk,2023,CantStopTheFeeling
Disco Inferno,The Trammps,Just Dance 2023 Edition,Disco / Funk,Inglés,1,1,discoinferno_pc.ipk,2023,DiscoInferno
DJ Got Us Fallin' In Love,Usher,Just Dance 2023 Edition,R&B / Soul,Inglés,2,2,djgotus_pc.ipk,2023,DJGotUs
drivers license,Olivia Rodrigo,Just Dance 2023 Edition,K-Pop,Coreano,2,1,driverslicense_pc.ipk,2023,DriversLicense
Dynamite,BTS,Just Dance 2023 Edition,K-Pop,Coreano,2,1,dynamite_pc.ipk,2023,Dynamite
Euphoria,Loreen,Just Dance 2023 Edition,Pop / Dance-Pop,Inglés,1,1,euphoria_pc.ipk,2023,Euphoria
Good Ones,Charli XCX,Just Dance 2023 Edition,Pop / Dance-Pop,Inglés,1,1,goodones_pc.ipk,2023,GoodOnes
I Knew You Were Trouble,Taylor Swift,Just Dance 2023 Edition,Pop / Dance-Pop,Inglés,2,1,iknewyouweretrouble_pc.ipk,2023,IKnewYouWereTrouble
If You Wanna Party,The Just Dancers,Just Dance 2023 Edition,Pop / Dance-Pop,Inglés,2,1,party_pc.ipk,2023,PARTY
Jamais Lâcher,Michou,Just Dance 2023 Edition,Pop / Dance-Pop,Inglés,2,1,jamais_pc.ipk,2023,Jamais
Locked Out of Heaven,Bruno Mars,Just Dance 2023 Edition,R&B / Soul,Inglés,2,1,lockedout_pc.ipk,2023,LockedOut
Love Me Land,Zara Larsson,Just Dance 2023 Edition,Pop / Dance-Pop,Inglés,3,1,lovemeland_pc.ipk,2023,LoveMeLand
Magic,Kylie Minogue,Just Dance 2023 Edition,Pop / Dance-Pop,Inglés,1,1,magic_pc.ipk,2023,Magic
Million Dollar Baby,Ava Max,Just Dance 2023 Edition,Pop / Dance-Pop,Inglés,1,1,milliondollarbaby_pc.ipk,2023,MillionDollarBaby
Miraculous Official Theme Song,Lou and Lenni-Kim,Just Dance 2023 Edition,Banda Sonora / Musical,Francés,1,2,ladybug_pc.ipk,2023,LadyBug
MORE,"K/DA Ft. Madison Beer, (G)I-DLE, Lexie Liu, Jaira Burns & Seraphine",Just Dance 2023 Edition,K-Pop,Coreano,2,1,morealt_pc.ipk,2023,MOREALT
MORE,"K/DA Ft. Madison Beer, (G)I-DLE, Lexie Liu, Jaira Burns & Seraphine",Just Dance 2023 Edition,K-Pop,Coreano,4,4,more_pc.ipk,2023,MORE
Numb,Linkin Park,Just Dance 2023 Edition,Rock / Pop Rock,Inglés,3,1,numb_pc.ipk,2023,Numb
Physical,Dua Lipa,Just Dance 2023 Edition,Pop / Dance-Pop,Inglés,1,1,physical_pc.ipk,2023,Physical
Psycho,Red Velvet,Just Dance 2023 Edition,K-Pop,Coreano,1,1,psychoalt_pc.ipk,2023,PsychoALT
Rather Be,Clean Bandit Ft. Jess Glynne,Just Dance 2023 Edition,Dance / Electrónica,Inglés,3,1,ratherbe_pc.ipk,2023,RatherBe
Sissy That Walk,RuPaul,Just Dance 2023 Edition,Pop / Dance-Pop,Inglés,1,1,sissythatwalk_pc.ipk,2023,SissyThatWalk
Sunroof,Nicky Youre & Dazy,Just Dance 2023 Edition,Hip-Hop / Rap,Inglés,2,1,sunroof_pc.ipk,2023,Sunroof
Sweet but Psycho,Ava Max,Just Dance 2023 Edition,K-Pop,Coreano,2,1,sweetbutpsycho_pc.ipk,2023,SweetButPsycho
Telephone,Lady Gaga Ft. Beyoncé,Just Dance 2023 Edition,R&B / Soul,Inglés,2,1,telephone_pc.ipk,2023,Telephone
"thank u, next",Ariana Grande,Just Dance 2023 Edition,Pop / Dance-Pop,Inglés,2,1,thankunext_pc.ipk,2023,ThankUNext
Toxic,Britney Spears,Just Dance 2023 Edition,Pop / Dance-Pop,Inglés,2,1,toxicnext_pc.ipk,2023,ToxicNext
WANNABE,ITZY,Just Dance 2023 Edition,K-Pop,Coreano,2,1,wannabeitzyalt_pc.ipk,2023,WannabeItzyALT
WANNABE,ITZY,Just Dance 2023 Edition,K-Pop,Coreano,4,3,wannabeitzy_pc.ipk,2023,WannabeItzy
A QUEDA,Gloria Groove,Just Dance 2024 Edition,Pop / Dance-Pop,Portugués,2,1,aqueda_pc.ipk,2024,AQueda
Can't Tame Her,Zara Larsson,Just Dance 2024 Edition,Pop / Dance-Pop,Inglés,3,1,canttameher_pc.ipk,2024,CantTameHer
Cure For Me,AURORA,Just Dance 2024 Edition,Pop / Dance-Pop,Inglés,2,1,cureformealt_pc.ipk,2024,CureForMeALT
HIP,MAMAMOO,Just Dance 2024 Edition,Pop / Dance-Pop,Inglés,2,1,hipmamamooalt_pc.ipk,2024,HipMamamooALT
I Wanna Dance With Somebody,Whitney Houston,Just Dance 2024 Edition,R&B / Soul,Inglés,2,1,iwannadance_pc.ipk,2024,IWannaDance
I'm Good (Blue),David Guetta & Bebe Rexha,Just Dance 2024 Edition,Dance / Electrónica,Inglés,2,2,imgood_pc.ipk,2024,ImGood
Stronger (What Doesn't Kill You),Kelly Clarkson,Just Dance 2024 Edition,Pop / Dance-Pop,Inglés,1,1,stronger_pc.ipk,2024,Stronger
Todo de Ti,Rauw Alejandro,Just Dance 2024 Edition,Pop Latino / Urbano,Español,2,1,tododeti_pc.ipk,2024,TodoDeTi
Wasabi,Little Mix,Just Dance 2024 Edition,Rock / Pop Rock,Inglés,2,1,wasabi_pc.ipk,2024,Wasabi
When Will My Life Begin?,Disney's Tangled,Just Dance 2024 Edition,Banda Sonora / Musical,Inglés,2,1,willmylifebegin_pc.ipk,2024,WillMyLifeBegin
Whine Up,Kat DeLuna ft. Elephant Man,Just Dance 2024 Edition,Pop / Dance-Pop,Inglés,1,1,whineup_pc.ipk,2024,WhineUp
Zero to Hero,Disney's Hercules,Just Dance 2024 Edition,Banda Sonora / Musical,Inglés,2,3,zerotohero_pc.ipk,2024,ZeroToHero
Apple,Charli XCX,Just Dance 2025 Edition,Pop / Dance-Pop,Inglés,1,1,apple_pc.ipk,2025,Apple
"break up with your girlfriend, i'm bored",Ariana Grande,Just Dance 2025 Edition,Pop / Dance-Pop,Inglés,2,1,breakup_pc.ipk,2025,BreakUp
Centuries,Fall Out Boy,Just Dance 2025 Edition,Rock / Pop Rock,Inglés,2,1,centuries_pc.ipk,2025,Centuries
Dubidubidu (Chipi Chipi Chapa Chapa),Christell,Just Dance 2025 Edition,Pop / Dance-Pop,Inglés,1,1,dubidubidu_pc.ipk,2025,Dubidubidu
Espresso,Sabrina Carpenter,Just Dance 2025 Edition,Pop / Dance-Pop,Inglés,2,1,espresso_pc.ipk,2025,Espresso
i like the way you kiss me,Artemas,Just Dance 2025 Edition,Rock / Pop Rock,Inglés,1,2,youkissme_pc.ipk,2025,YouKissMe
In Your Eyes (Remix),The Weeknd Ft. Doja Cat,Just Dance 2025 Edition,Hip-Hop / Rap,Inglés,2,1,inyoureyes_pc.ipk,2025,InYourEyes
Padam Padam,Kylie Minogue,Just Dance 2025 Edition,Pop / Dance-Pop,Inglés,1,1,padam_pc.ipk,2025,Padam
Play Date,Melanie Martinez,Just Dance 2025 Edition,Pop / Dance-Pop,Inglés,2,1,playdate_pc.ipk,2025,PlayDate
Si Antes Te Hubiera Conocido,KAROL G,Just Dance 2025 Edition,Pop Latino / Urbano,Español,1,1,sianteste_pc.ipk,2025,SiAntesTe
Something I Can Feel,Mandy Harvey,Just Dance 2025 Edition,Hip-Hop / Rap,Inglés,3,1,somethingicanfeel_pc.ipk,2025,SomethingICanFeel
Stop This Fire,Nius,Just Dance 2025 Edition,Pop / Dance-Pop,Inglés,1,1,stopthisfire_pc.ipk,2025,StopThisFire
the boy is mine,Ariana Grande,Just Dance 2025 Edition,Pop / Dance-Pop,Inglés,1,1,boyismine_pc.ipk,2025,BoyIsMine
Training Season,Dua Lipa,Just Dance 2025 Edition,Pop / Dance-Pop,Inglés,2,1,trainingseason_pc.ipk,2025,TrainingSeason
Vogue,Madonna,Just Dance 2025 Edition,J-Pop,Japonés,2,1,voguealt_pc.ipk,2025,VogueALT
Vogue,Madonna,Just Dance 2025 Edition,J-Pop,Japonés,2,1,vogue_pc.ipk,2025,Vogue
Abracadabra,Lady Gaga,Just Dance 2026 Edition,Pop / Dance-Pop,Inglés,2,2,abracadabra_pc.ipk,2026,Abracadabra
APT.,ROSÉ & Bruno Mars,Just Dance 2026 Edition,R&B / Soul,Inglés,3,1,aptalt_pc.ipk,2026,APTALT
Big Bad Frog,Austin & Colin,Just Dance 2026 Edition,Pop / Dance-Pop,Inglés,1,1,bigbadfrog_pc.ipk,2026,BigBadFrog
Born to Be Alive (Reborn Version),Patrick Hernandez,Just Dance 2026 Edition,K-Pop,Coreano,1,2,borntobealt_pc.ipk,2026,BornToBeALT
Born to Be Alive (Reborn Version),Patrick Hernandez,Just Dance 2026 Edition,K-Pop,Coreano,1,1,borntobe_pc.ipk,2026,BornToBe
Chichika,MariaDennis feat. METAMAMI,Just Dance 2026 Edition,Disco / Funk,Inglés,2,2,chichika_pc.ipk,2026,Chichika
Counting Stars,OneRepublic,Just Dance 2026 Edition,Pop / Dance-Pop,Inglés,2,1,countingstars_pc.ipk,2026,CountingStars
Cry Baby,Melanie Martinez,Just Dance 2026 Edition,Pop / Dance-Pop,Inglés,3,1,crybaby_pc.ipk,2026,CryBaby
Folded,Kehlani,Just Dance 2026 Edition,R&B / Soul,Inglés,3,1,folded_pc.ipk,2026,Folded
Girls Just Want To Have Fun,Cyndi Lauper,Just Dance 2026 Edition,Pop / Dance-Pop,Inglés,1,3,girlsjustwantnext_pc.ipk,2026,GirlsJustWantNext
Gnarly,KATSEYE,Just Dance 2026 Edition,Pop / Dance-Pop,Inglés,4,3,gnarly_pc.ipk,2026,Gnarly
"Good Luck, Babe!",Chappell Roan,Just Dance 2026 Edition,Pop / Dance-Pop,Inglés,1,1,goodluckbabe_pc.ipk,2026,GoodLuckBabe
Houdini,Dua Lipa,Just Dance 2026 Edition,Pop / Dance-Pop,Inglés,4,1,houdinialt_pc.ipk,2026,HoudiniALT
Houdini,Dua Lipa,Just Dance 2026 Edition,Pop / Dance-Pop,Inglés,1,1,houdini_pc.ipk,2026,Houdini
It's ok I'm ok,Tate McRae,Just Dance 2026 Edition,Pop / Dance-Pop,Inglés,3,1,itsok_pc.ipk,2026,ItsOk
Million Times Better,Crystal Enigma,Just Dance 2026 Edition,Pop / Dance-Pop,Inglés,1,1,milliontimesbetter_pc.ipk,2026,MillionTimesBetter
Moonlight,Aileen-O,Just Dance 2026 Edition,Pop / Dance-Pop,Inglés,1,1,moonlight_pc.ipk,2026,Moonlight
Pop Muzik,M / Robin Scott,Just Dance 2026 Edition,Pop / Dance-Pop,Inglés,2,3,popmuzik_pc.ipk,2026,PopMuzik
Sokusu,Wanko Ni Mero Mero,Just Dance 2026 Edition,J-Pop,Japonés,2,1,sokusu_pc.ipk,2026,Sokusu
TEXAS HOLD 'EM,Beyoncé,Just Dance 2026 Edition,R&B / Soul,Inglés,2,2,texasholdem_pc.ipk,2026,TexasHoldEm
Water,Tyla,Just Dance 2026 Edition,Pop / Dance-Pop,Inglés,2,1,water_pc.ipk,2026,Water
WHERE IS MY HUSBAND!,RAYE,Just Dance 2026 Edition,R&B / Soul,Inglés,1,1,whereismyhusband_pc.ipk,2026,WhereIsMyHusband
